Date,Open,High,Low,Close,Adj Close,Volume,OpenA,HighA,LowA,CloseA,Adj CloseA,VolumeA,OpenB,HighB,LowB,CloseB,Adj CloseB,VolumeB,OpenC,HighC,LowC,CloseC,Adj CloseC,VolumeC
2020-02-20,911.950012,912,859.940002,899.409973,899.409973,17634900,2173.070068,2176.790039,2127.449951,2153.100098,2153.100098,3131300,3840,3962.669922,3830,3930,3924.473633,700,1960,1987.76001,1956.390015,1970.910034,1970.910034,359200
2020-02-21,906.97998,913.059998,880.450012,901,901,14314800,2142.149902,2144.550049,2088,2095.969971,2095.969971,4646300,3900.02002,3981.679932,3900.02002,3947.51001,3941.958984,600,1965,1968.099976,1922.160034,1928.719971,1928.719971,358500
2020-02-24,839,863.5,822.200012,833.789978,833.789978,15192200,2003.180054,2039.300049,1987.969971,2009.290039,2009.290039,6547000,3882.679932,3940,3756,3787.949951,3782.623047,500,1830.930054,1835.5,1777.880005,1792.540039,1792.540039,886000
2020-02-25,849,856.599976,787,799.909973,799.909973,17290500,2026.420044,2034.599976,1958.420044,1972.73999,1972.73999,6219100,3815,3879.919922,3575,3608.929932,3603.85498,1400,1803,1811.310059,1711.01001,1726.579956,1726.579956,958300
2020-02-26,782.5,813.309998,776.109985,778.799988,778.799988,14085500,1970.280029,2014.670044,1960.449951,1979.589966,1979.589966,5224600,3599,3599.969971,3410,3444.98999,3440.145508,1000,1731.219971,1742.939941,1659.640015,1678.199951,1678.199951,903300
2020-02-27,730,739.77002,669,679,679,24149300,1934.380005,1975,1882.76001,1884.300049,1884.300049,8112100,3400,3556.77002,3400,3510,3505.064209,900,1612.97998,1730,1592.449951,1659.849976,1659.849976,1338000
2020-02-28,629.700012,690.52002,611.52002,667.98999,667.98999,24564200,1814.630005,1889.76001,1811.130005,1883.75,1883.75,9493800,3523.22998,3575,3400,3415,3412.385254,1000,1643.640015,1718,1634.540039,1695.660034,1695.660034,977000
2020-03-02,711.26001,743.690002,686.669983,743.619995,743.619995,20195000,1906.48999,1954.51001,1870,1953.949951,1953.949951,6761700,3491,3600,3403.949951,3537.540039,3534.831299,900,1709.75,1732.920044,1651.76001,1728.97998,1728.97998,869200
2020-03-03,805,806.97998,716.109985,745.51001,745.51001,25784000,1975.369995,1996.329956,1888.089966,1908.98999,1908.98999,7534500,3537.540039,3611.25,3370.5,3418.840088,3416.222412,1200,1726.630005,1749.98999,1646.930054,1683.02002,1683.02002,704300
2020-03-04,763.960022,766.52002,724.72998,749.5,749.5,15049000,1946.569946,1978,1922,1975.829956,1975.829956,4772900,3464.98999,3755,3418.840088,3573.110107,3570.374268,900,1697.150024,1736.890015,1671.23999,1732.130005,1732.130005,593500
2020-03-05,723.77002,745.75,718.070007,724.539978,724.539978,10852700,1933,1960.719971,1910,1924.030029,1924.030029,4748200,3539.98999,3539.98999,3361,3398.01001,3395.408203,1300,1662.98999,1680.040039,1632.579956,1647.439941,1647.439941,788800
2020-03-06,690,707,684.27002,703.47998,703.47998,12662900,1875,1910.869995,1869.5,1901.089966,1901.089966,5273600,3381.600098,3474,3250,3296.310059,3293.786133,800,1603.089966,1684,1584,1612.089966,1612.089966,1077500
2020-03-09,605.390015,663,605,608,608,17073700,1773.859985,1862.77002,1761.290039,1800.609985,1800.609985,7813200,3162,3322.47998,3063,3199.97998,3197.529785,2400,1483.98999,1588.670044,1476.51001,1527.800049,1527.800049,770300
2020-03-10,659.429993,668,608,645.330017,645.330017,15594400,1870.880005,1894.27002,1818.170044,1891.819946,1891.819946,7133300,3199.98999,3265,3090.610107,3169.649902,3167.2229,900,1589.949951,1615,1499.939941,1559,1559,742000
2020-03-11,640.200012,653.580017,613,634.22998,634.22998,13322500,1857.849976,1871.319946,1801.5,1820.859985,1820.859985,5624800,3150,3270.97998,3000,3076.209961,3073.854492,800,1522.290039,1528.530029,1420.560059,1442.5,1442.5,829800
2020-03-12,580.890015,594.5,546.25,560.549988,560.549988,18909100,1721.97998,1765,1675,1676.609985,1676.609985,11346200,2950,3100,2800,3009.439941,3007.135742,4400,1297,1369.98999,1280,1280.400024,1280.400024,1282100
2020-03-13,595,607.570007,502,546.619995,546.619995,22640300,1755,1786.310059,1680.619995,1785,1785,8809700,3011.050049,3084,2766.51001,2915.01001,2912.778076,1800,1336.800049,1421.670044,1270.869995,1421.329956,1421.329956,1153100
2020-03-16,469.5,494.869995,442.170013,445.070007,445.070007,20489500,1641.51001,1759.449951,1626.030029,1689.150024,1689.150024,8917300,2750,2850,2614.139893,2711.810059,2709.733643,1000,1275,1411.829956,1252.219971,1289.670044,1289.670044,986900
2020-03-17,440.01001,471.850006,396,430.200012,430.200012,23994600,1775.469971,1857.780029,1689.23999,1807.839966,1807.839966,10917100,2732,3076.370117,2711,3051.97998,3049.643066,1400,1309.560059,1370.52002,1252.910034,1368.26001,1368.26001,1080100
2020-03-18,389,404.859985,350.51001,361.220001,361.220001,23786200,1750,1841.660034,1745,1830,1830,9645200,2985,2985,2685,2740.01001,2737.912109,1300,1277.859985,1327.089966,1165.02002,1233.75,1233.75,933400
2020-03-19,374.700012,452,358.459991,427.640015,427.640015,30195500,1860,1945,1832.650024,1880.930054,1880.930054,10399900,2734.340088,2788.879883,2650.02002,2690,2687.94043,1500,1211.160034,1236.640015,1150,1191.47998,1191.47998,980600
2020-03-20,438.200012,477,425.790009,427.529999,427.529999,28285500,1926.310059,1957,1820.72998,1846.089966,1846.089966,9817900,2665.649902,2803.97998,2656.639893,2656.639893,2654.605713,2400,1216.339966,1299.949951,1157.410034,1177.430054,1177.430054,1146500
2020-03-23,433.600006,442,410.5,434.290009,434.290009,16454500,1827.75,1919.400024,1812,1902.829956,1902.829956,7808500,2765,2796.090088,2614,2734.330078,2732.236572,1600,1166.97998,1226.140015,1107.290039,1152.23999,1152.23999,859900
2020-03-24,477.299988,513.690002,474,505,505,22895200,1951.5,1955,1900.339966,1940.099976,1940.099976,7147100,2840,2850,2700,2740.850098,2738.751465,1600,1218.619995,1279,1200.579956,1259.469971,1259.469971,854000
2020-03-25,545.25,557,511.109985,539.25,539.25,21222700,1920.689941,1950.26001,1885.780029,1885.839966,1885.839966,6479100,2760,2970,2686.590088,2799.25,2797.106689,900,1259.469971,1449.47998,1246.949951,1365.849976,1365.849976,998700
2020-03-26,547.390015,560,512.25,528.159973,528.159973,17380700,1902,1956.48999,1889.290039,1955.48999,1955.48999,6221300,2899.98999,2929.969971,2800,2845,2842.821533,700,1380.329956,1429.47998,1353.52002,1406,1406,616500
2020-03-27,505,525.799988,494.029999,514.359985,514.359985,14377400,1930.859985,1939.790039,1899.920044,1900.099976,1900.099976,5387900,2840,2860,2750,2836.719971,2834.547852,1100,1344.869995,1355.459961,1253.609985,1255.150024,1255.150024,701500
2020-03-30,510.26001,516.650024,491.230011,502.130005,502.130005,11998100,1922.829956,1973.630005,1912.339966,1963.949951,1963.949951,6126100,2826.850098,2869.23999,2750.629883,2855.969971,2853.783203,800,1261.27002,1321.890015,1216.97998,1308.22998,1308.22998,600800
2020-03-31,501.25,542.960022,497,524,524,17771500,1964.349976,1993.02002,1944.01001,1949.719971,1949.719971,5123600,2852.129883,2857,2800.02002,2812.800049,2810.64624,500,1303.01001,1390.390015,1296.01001,1345.319946,1345.319946,770300
2020-04-01,504,513.950012,475.100006,481.559998,481.559998,13353200,1932.969971,1944.959961,1893,1907.699951,1907.699951,4121900,2800,2850,2725.02002,2813.429932,2811.275635,1200,1293.810059,1328.339966,1248.180054,1271.630005,1271.630005,562800
2020-04-02,481.029999,494.26001,446.399994,454.470001,454.470001,19858400,1901.640015,1927.530029,1890,1918.829956,1918.829956,4336000,2730,2824.97998,2716.689941,2728.340088,2726.250977,1400,1270.969971,1334.98999,1241.219971,1260,1260,573800
2020-04-03,509.5,515.48999,468.390015,480.01001,480.01001,22562100,1911.150024,1926.329956,1889.150024,1906.589966,1906.589966,3609900,2711.01001,2799.97998,2624.060059,2744.360107,2742.258789,1700,1244.180054,1279.160034,1203.079956,1230.680054,1230.680054,442300
2020-04-06,511.200012,521,497.959991,516.23999,516.23999,14901800,1936,1998.52002,1930.02002,1997.589966,1997.589966,5773200,2706.01001,2794,2700,2784.810059,2782.677734,1300,1303.280029,1363.349976,1292.810059,1356.680054,1356.680054,751500
2020-04-07,545,565,532.340027,545.450012,545.450012,17919800,2017.109985,2035.719971,1997.619995,2011.599976,2011.599976,5114000,2811.01001,3073.98999,2785,2981,2978.717529,4100,1412.01001,1495,1366.790039,1376.369995,1376.369995,783400
2020-04-08,554.200012,557.210022,533.330017,548.840027,548.840027,12656000,2021,2044,2011.150024,2043,2043,3977300,3044.98999,3059.47998,2950.030029,3029.97998,3027.659912,800,1382.650024,1428.719971,1360.01001,1372.060059,1372.060059,780900
2020-04-09,562.090027,575.179993,557.109985,573,573,13650000,2044.300049,2053,2017.660034,2042.76001,2042.76001,4655600,3040,3348.090088,2950,3348.090088,3345.526611,1300,1424.76001,1450,1403,1420.640015,1420.640015,1032800
2020-04-13,590.159973,652,580.530029,650.950012,650.950012,22475400,2040,2180,2038,2168.870117,2168.870117,6716700,3400,3404.01001,3200,3285.689941,3283.174072,2800,1413.189941,1428.01001,1368.390015,1421.01001,1421.01001,404400
2020-04-14,698.969971,741.880005,692.429993,709.890015,709.890015,30576500,2200.469971,2292,2186.209961,2283.320068,2283.320068,8087200,3298.97998,3299,3063,3084.52002,3082.158203,3000,1460.089966,1469.959961,1424,1449.420044,1449.420044,579000
2020-04-15,742,753.130005,710,729.830017,729.830017,23577000,2257.679932,2333.370117,2245,2307.679932,2307.679932,6866600,3159.840088,3176.51001,2955,2990,2987.710693,1800,1407.839966,1440,1390.670044,1424.609985,1424.609985,452800
2020-04-16,716.940002,759.450012,706.719971,745.210022,745.210022,20657900,2346,2461,2335,2408.189941,2408.189941,12038200,3020,3098.830078,2925,2985.23999,2982.954346,1900,1432.349976,1432.349976,1391.02002,1407.400024,1407.400024,488400
2020-04-17,772.280029,774.950012,747.659973,753.890015,753.890015,13128200,2372.330078,2400,2316.02002,2375,2375,7930000,3001,3100,2985.23999,2997,2994.705322,800,1469,1484.660034,1450.189941,1470.869995,1470.869995,691300
2020-04-20,732.700012,765.570007,712.210022,746.359985,746.359985,14746600,2389.949951,2444.97998,2386.050049,2393.610107,2393.610107,5770700,2940,3055,2940,3021.01001,3018.696777,800,1462.050049,1470,1410,1411.630005,1411.630005,459200
2020-04-21,730.119995,753.330017,673.789978,686.719971,686.719971,20209100,2416.610107,2428.310059,2279.659912,2328.120117,2328.120117,7476700,2983,3050,2900,3015,3012.691406,600,1382.810059,1387.73999,1317.400024,1342.219971,1342.219971,652700
2020-04-22,703.97998,734,688.710022,732.109985,732.109985,14224800,2369,2394,2351,2363.48999,2363.48999,4218300,3099.98999,3099.98999,2940,3000,2997.702881,500,1365.01001,1379.98999,1342,1355,1355,356600
2020-04-23,727.599976,734,703.130005,705.630005,705.630005,13236700,2399.97998,2424.219971,2382.080078,2399.449951,2399.449951,5066600,3051.27002,3055,2976.620117,2980,2977.718262,500,1354.050049,1388.98999,1350.790039,1360,1360,372700
2020-04-24,710.809998,730.72998,698.179993,725.150024,725.150024,13237600,2417,2420.429932,2382,2410.219971,2410.219971,3831800,2945,2990,2935,2950,2947.741211,300,1372.390015,1374.579956,1338.660034,1362.77002,1362.77002,334500
2020-04-27,737.609985,799.48999,735,798.75,798.75,20681400,2443.199951,2444.879883,2363,2376,2376,5645600,2950.060059,3025,2950.060059,2999.719971,2997.423096,1000,1374.930054,1411.23999,1371.040039,1402.98999,1402.98999,456900
2020-04-28,795.640015,805,756.690002,769.119995,769.119995,15222000,2372.100098,2373.5,2306,2314.080078,2314.080078,5269400,3048.97998,3201.73999,3022.5,3200,3197.549805,1200,1434.199951,1463.650024,1410.800049,1439.319946,1439.319946,613500
2020-04-29,790.169983,803.200012,783.159973,800.51001,800.51001,16216000,2330.01001,2391.889893,2310,2372.709961,2372.709961,4591600,3155.550049,3299.709961,3150,3200,3197.549805,1000,1487.829956,1527.72998,1473.300049,1520.530029,1520.530029,703000
