Date,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
2020-04-30,24585.570313,24585.570313,24186.900391,24345.720703,24345.720703,478280000,26639.060547,26689.390625,26426.380859,26430.140625,26430.140625,303850000
2020-05-01,24120.779297,24120.779297,23645.300781,23723.689453,23723.689453,418160000,26407.150391,26454.689453,26180.359375,26307.789063,26307.789063,287610000
2020-05-04,23581.550781,23769.560547,23361.160156,23749.759766,23749.759766,355360000,26379.140625,26534.960938,26370.089844,26504.949219,26504.949219,248900000
2020-05-05,23958.880859,24169.720703,23868.910156,23883.089844,23883.089844,369710000,26160.619141,26476.269531,26033.949219,26438.480469,26438.480469,283020000
2020-05-06,23978.880859,24054.589844,23661.140625,23664.640625,23664.640625,377450000,26276.900391,26276.900391,25789.710938,25965.089844,25965.089844,334960000
2020-05-07,23837.210938,24094.619141,23834.390625,23875.890625,23875.890625,369890000,25933.789063,26118.099609,25889.410156,25967.330078,25967.330078,276420000
2020-05-08,24107.820313,24349.900391,24107.050781,24331.320313,24331.320313,335760000,25878.849609,25884.890625,25517.390625,25828.359375,25828.359375,334760000
2020-05-11,24256.449219,24366.210938,24070.220703,24221.990234,24221.990234,352400000,25763.720703,26019.320313,25469.859375,25942.369141,25942.369141,294580000
2020-05-12,24292.839844,24382.089844,23761.580078,23764.779297,23764.779297,359480000,25568.060547,25568.060547,25222.509766,25324.990234,25324.990234,361240000
2020-05-13,23702.160156,23708.900391,23067.640625,23247.970703,23247.970703,469950000,25384.029297,25688.960938,25384.029297,25532.050781,25532.050781,291570000
2020-05-14,23049.060547,23630.859375,22789.619141,23625.339844,23625.339844,472700000,25400.130859,25724.890625,25341.939453,25648.019531,25648.019531,270720000
2020-05-15,23454.830078,23730.080078,23354.150391,23685.419922,23685.419922,491510000,25692.140625,25957.630859,25692.140625,25862.679688,25862.679688,320960000
2020-05-18,24059.980469,24708.539063,24059.980469,24597.369141,24597.369141,484190000,25719.949219,25948.740234,25657.779297,25764,25764,283760000
2020-05-19,24577.480469,24599.5,24202.960938,24206.859375,24206.859375,374100000,25655.310547,25751.710938,25560.550781,25679.900391,25679.900391,279560000
2020-05-20,24455.939453,24649.480469,24455.939453,24575.900391,24575.900391,366510000,25782.339844,25898.269531,25779.609375,25877.330078,25877.330078,260870000
2020-05-21,24564.269531,24718.460938,24370.880859,24474.119141,24474.119141,346770000,25818.460938,25878.210938,25755.109375,25776.609375,25776.609375,241760000
2020-05-22,24461.980469,24481.640625,24294.070313,24465.160156,24465.160156,255660000,25657.990234,25657.990234,25328.089844,25490.470703,25490.470703,316940000
2020-05-26,24781.839844,25176.419922,24781.839844,24995.109375,24995.109375,424380000,25551.070313,25670.810547,25496.199219,25585.689453,25585.689453,201370000
2020-05-27,25298.630859,25551.560547,25009.869141,25548.269531,25548.269531,411230000,25616.550781,25717.630859,25342.279297,25347.769531,25347.769531,358980000
2020-05-28,25697.359375,25758.789063,25358.730469,25400.640625,25400.640625,377800000,25231.460938,25231.460938,24938.240234,25126.410156,25126.410156,298930000
2020-05-29,25324.150391,25482.800781,25031.669922,25383.109375,25383.109375,527620000,25139.939453,25218.539063,25066.75,25169.880859,25169.880859,215240000
2020-06-01,25342.990234,25508.830078,25220.660156,25475.019531,25475.019531,338310000,25046.310547,25046.310547,24809.509766,24815.039063,24815.039063,292230000
2020-06-02,25582.519531,25743.130859,25523.740234,25742.650391,25742.650391,352610000,24830.160156,24935.210938,24680.570313,24819.779297,24819.779297,328240000
2020-06-03,25906.880859,26337.75,25906.880859,26269.890625,26269.890625,398790000,24962.820313,25343.769531,24962.820313,25332.179688,25332.179688,281690000
2020-06-04,26226.490234,26384.099609,26082.310547,26281.820313,26281.820313,372190000,25451,25544.660156,25373.580078,25539.570313,25539.570313,262660000
2020-06-05,26836.800781,27338.300781,26836.800781,27110.980469,27110.980469,542310000,25567.449219,25800.300781,25518.050781,25720.660156,25720.660156,248070000
2020-06-08,27232.929688,27580.210938,27232.480469,27572.439453,27572.439453,430200000,25768.720703,26072.75,25768.720703,25983.939453,25983.939453,263010000
2020-06-09,27447.369141,27447.369141,27151.060547,27272.300781,27272.300781,381430000,26090.220703,26210.609375,26054.310547,26062.679688,26062.679688,249280000
