Date,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close1,Volume,Open,High,Low,Close,Adj Close2,Volume,Open,High,Low,Close,Adj Close3,Volume
2019-11-05,257.049988,258.190002,256.320007,257.130005,255.062927,19974400,289.98999,291.190002,286.309998,288.029999,288.029999,4062400,195.369995,195.75,193.600006,194.320007,194.320007,9942000,319.619995,323.51001,316.119995,317.220001,317.220001,6943400
2019-11-06,256.769989,257.48999,255.369995,257.23999,255.172012,18966100,288.190002,290.559998,285.839996,288.589996,288.589996,3438300,194.029999,194.369995,191.350006,191.550003,191.550003,10973000,318,326.720001,314.5,326.579987,326.579987,7940900
2019-11-07,258.73999,260.350006,258.109985,259.429993,258.117004,23735100,290.700012,298.190002,288.269989,289.570007,289.570007,5928500,191.910004,193.440002,189.470001,190.419998,190.419998,13473000,329.140015,341.5,328.019989,335.540009,335.540009,14467300
2019-11-08,258.690002,260.440002,256.850006,260.140015,258.823456,17496600,288.730011,293.98999,287.51001,291.570007,291.570007,4509000,190,192.339996,189.699997,190.839996,190.839996,10760800,334.5,337.459991,332.5,337.140015,337.140015,6069200
2019-11-11,258.299988,262.470001,258.279999,262.200012,260.873016,20455300,289.160004,296.359985,288.5,294.179993,294.179993,3944300,189.929993,190.080002,188.539993,189.610001,189.610001,8631200,343.950012,349.190002,342,345.089996,345.089996,9986700
2019-11-12,261.549988,262.790009,260.920013,261.959991,260.634216,21847200,295.320007,295.350006,288.700012,292.01001,292.01001,5772800,190,195.059998,189.740005,194.470001,194.470001,17615500,346.899994,350.369995,344.040009,349.929993,349.929993,7359400
2019-11-13,261.130005,264.779999,261.070007,264.470001,263.131531,25683600,291.029999,293.410004,281.140015,283.109985,283.109985,9158900,194.699997,195.699997,192.740005,193.190002,193.190002,10860700,355,356.329987,345.179993,346.109985,346.109985,8420100
2019-11-14,263.75,264.880005,262.100006,262.640015,261.310791,22295700,283.25,290.630005,283.220001,289.619995,289.619995,6529000,192.929993,194.029999,191.449997,193.149994,193.149994,9040500,346.109985,353.839996,342.910004,349.350006,349.350006,6464900
2019-11-15,263.679993,265.779999,263.01001,265.76001,264.415009,25051600,290.589996,295.820007,287.570007,295.029999,295.029999,6333800,194.259995,195.300003,193.380005,195.100006,195.100006,11524300,350.640015,352.799988,348.359985,352.170013,352.170013,4809000
2019-11-18,265.799988,267.429993,264.230011,267.100006,265.74823,21675800,296,304.98999,293.279999,302.570007,302.570007,8616600,194.559998,198.630005,193.050003,197.399994,197.399994,16167200,352.920013,353.149994,346.100006,349.98999,349.98999,4400400
2019-11-19,267.899994,268,265.390015,266.290009,264.942322,19041800,304.01001,305.670013,298.519989,302.600006,302.600006,5918000,197.399994,200,196.860001,199.320007,199.320007,19056800,351.75,359.98999,347.799988,359.519989,359.519989,7724800
2019-11-20,265.540009,266.079987,260.399994,263.190002,261.858032,26558600,301.01001,308.25,301,305.160004,305.160004,5111800,198.580002,199.589996,195.429993,197.509995,197.509995,12355400,360,361.200012,349.570007,352.220001,352.220001,6725100
2019-11-21,263.690002,264.01001,261.179993,262.01001,260.68399,30348800,306,312.690002,304.26001,311.690002,311.690002,7488400,197.419998,199.089996,196.860001,197.929993,197.929993,12131000,354.51001,360.839996,354,354.829987,354.829987,6110000
2019-11-22,262.589996,263.179993,260.839996,261.779999,260.455139,16331300,309.100006,311.399994,304.410004,310.480011,310.480011,5970100,198.380005,199.300003,197.619995,198.820007,198.820007,9959800,340.160004,341,330,333.040009,333.040009,16870600
2019-11-25,262.709991,266.440002,262.519989,266.369995,265.021912,21005100,308.829987,315.730011,305.25,315.549988,315.549988,7873900,199.520004,200.970001,199.25,199.789993,199.789993,15272300,344.320007,344.570007,334.459991,336.339996,336.339996,12339500
2019-11-26,266.940002,267.160004,262.5,264.290009,262.952423,26301900,315,316.5,311.690002,312.48999,312.48999,5321000,200,200.149994,198.039993,198.970001,198.970001,11735500,335.269989,335.5,327.100006,328.920013,328.920013,7947400
2019-11-27,265.579987,267.980011,265.309998,267.839996,266.484467,16308900,313.929993,316.820007,312.75,315.929993,315.929993,4096900,199.899994,203.139999,199.419998,202,202,12736600,331.119995,333.929993,328.570007,331.290009,331.290009,5555600
2019-11-29,266.600006,268,265.899994,267.25,265.897461,11654400,315.779999,316.619995,313.339996,314.660004,314.660004,2411700,201.600006,203.800003,201.210007,201.639999,201.639999,7985200,331.109985,331.26001,327.5,329.940002,329.940002,2465600
2019-12-02,267.269989,268.25,263.450012,264.160004,262.82309,23621800,314.390015,314.390015,303.75,309.98999,309.98999,6218800,202.130005,202.179993,198.050003,199.699997,199.699997,11503400,329.399994,336.380005,328.690002,334.869995,334.869995,6074500
2019-12-03,258.309998,259.529999,256.290009,259.450012,258.136963,28607600,302.220001,307.359985,301.880005,306.160004,306.160004,4992800,197.600006,198.929993,195.080002,198.820007,198.820007,11595300,332.619995,337.910004,332.190002,336.200012,336.200012,6573700
2019-12-04,261.070007,263.309998,260.679993,261.73999,260.415344,16795400,308.429993,308.429993,303.269989,304.320007,304.320007,3512100,200,200.029999,198.050003,198.710007,198.710007,8456300,337.75,337.859985,332.850006,333.029999,333.029999,5533000
2019-12-05,263.790009,265.890015,262.730011,265.579987,264.235901,18606100,305.269989,306.480011,298.809998,302.859985,302.859985,4615500,199.860001,201.289993,198.210007,199.360001,199.360001,9740400,332.829987,334.420013,327.25,330.369995,330.369995,3724600
2019-12-06,267.480011,271,267.299988,270.709991,269.339935,26518900,304.700012,307.850006,302.600006,307.350006,307.350006,4457800,200.5,201.570007,200.059998,201.050003,201.050003,12270600,335,338.859985,334.769989,335.890015,335.890015,7612400
2019-12-09,270,270.799988,264.910004,266.920013,265.569122,32010600,307.350006,311.48999,302.440002,302.5,302.5,5748400,200.649994,203.139999,200.210007,201.339996,201.339996,11954800,336.589996,344.450012,335.079987,339.529999,339.529999,9023100
2019-12-10,268.600006,270.070007,265.859985,268.480011,267.121246,22605100,296.119995,298.940002,292.019989,293.119995,293.119995,10476100,201.660004,202.050003,200.149994,200.869995,200.869995,9475700,339.959991,350.730011,339.309998,348.839996,348.839996,8828300
2019-12-11,268.809998,271.100006,268.5,270.769989,269.399658,19689200,294.48999,299.429993,294.200012,298.929993,298.929993,5589800,200.279999,202.630005,200.279999,202.259995,202.259995,8036800,351.880005,357.190002,351.089996,352.700012,352.700012,6897800
2019-12-12,267.779999,272.559998,267.320007,271.459991,270.086151,34327600,295.670013,299.170013,295.059998,298.440002,298.440002,4766600,202.350006,203.660004,194.100006,196.75,196.75,23734800,354.920013,362.73999,353.230011,359.679993,359.679993,7763900
2019-12-13,271.459991,275.299988,270.929993,275.149994,273.757477,33396900,298.5,301.799988,297.25,298.5,298.5,3879700,196.399994,196.800003,193.169998,194.110001,194.110001,18798000,361.049988,365.209991,354.640015,358.390015,358.390015,6570900
2019-12-16,277,280.790009,276.980011,279.859985,278.443604,32046500,300.850006,305.709991,298.630005,304.209991,304.209991,4658900,195.270004,199.119995,194.809998,197.919998,197.919998,14911500,362.549988,383.609985,362.5,381.5,381.5,18174200
